filename,currentPosX,currentPosY,currentDeg,targetPosX,targetPosY
JULY15_THREEWALLS.csv,50,812,0,260,350
,50,717,0,375,350
,50,622,0,510,350
,50,527,0,625,350
,50,432,0,260,445
,50,337,0,375,445
,50,242,0,510,445
,50,147,0,625,445
,97,50,0,260,540
,192,50,0,375,540
,287,50,0,510,540
,382,50,0,625,540
,477,50,0,260,635
,572,50,0,375,635
,667,50,0,510,635
,762,50,0,625,635
,862,145,0,260,730
,862,240,0,375,730
,862,335,0,510,730
,862,430,0,625,730
,862,525,0,260,825
,862,620,0,375,825
,862,715,0,510,825
,862,810,0,625,825